Date,Open,High,Low,Close
1991-01-15,6.241,6.241,6.241,6.241
1991-01-16,6.24,6.24,6.24,6.24
1991-01-17,6.301,6.301,6.301,6.301
1991-01-18,6.266,6.266,6.266,6.266
1991-01-28,6.399,6.399,6.399,6.399
1991-01-29,6.387,6.387,6.387,6.387
1991-01-30,6.376,6.376,6.376,6.376
1991-01-31,6.385,6.385,6.385,6.385
1991-02-04,6.158,6.158,6.158,6.158
1991-02-05,6.136,6.136,6.136,6.136
1991-02-06,6.093,6.093,6.093,6.093
1991-02-07,6.103,6.103,6.103,6.103
1991-02-08,6.1,6.1,6.1,6.1
1991-02-11,6.012,6.012,6.012,6.012
1991-02-12,6.021,6.021,6.021,6.021
1991-02-13,6.041,6.041,6.041,6.041
1991-02-14,6.03,6.03,6.03,6.03
1991-02-15,6.078,6.078,6.078,6.078
1991-02-19,6.115,6.115,6.115,6.115
1991-02-20,6.114,6.114,6.114,6.114
1991-02-21,6.103,6.103,6.103,6.103
1991-02-22,6.131,6.131,6.131,6.131
1991-02-25,6.179,6.179,6.179,6.179
1991-02-26,6.22,6.22,6.22,6.22
1991-02-27,6.208,6.208,6.208,6.208
1991-02-28,6.266,6.266,6.266,6.266
1991-03-01,6.295,6.295,6.295,6.295
1991-03-04,6.291,6.291,6.291,6.291
1991-03-05,6.258,6.258,6.258,6.258
1991-03-06,6.299,6.299,6.299,6.299
1991-03-07,6.287,6.287,6.287,6.287
1991-03-08,6.158,6.158,6.158,6.158
1991-03-11,6.049,6.049,6.049,6.049
1991-03-12,6.048,6.048,6.048,6.048
1991-03-13,6.016,6.016,6.016,6.016
1991-03-14,5.963,5.963,5.963,5.963
1991-03-15,5.981,5.981,5.981,5.981
1991-03-19,6.101,6.101,6.101,6.101
1991-03-20,6.068,6.068,6.068,6.068
1991-03-21,6.057,6.057,6.057,6.057
1991-03-22,6.054,6.054,6.054,6.054
1991-03-25,6.102,6.102,6.102,6.102
1991-03-26,6.038,6.038,6.038,6.038
1991-03-27,5.964,5.964,5.964,5.964
1991-03-28,5.921,5.921,5.921,5.921
1991-03-29,5.918,5.918,5.918,5.918
1991-04-01,5.977,5.977,5.977,5.977
1991-04-02,5.945,5.945,5.945,5.945
1991-04-03,5.964,5.964,5.964,5.964
1991-04-04,5.943,5.943,5.943,5.943
1991-04-05,5.877,5.877,5.877,5.877
1991-04-08,5.798,5.798,5.798,5.798
1991-04-09,5.776,5.776,5.776,5.776
1991-04-10,5.786,5.786,5.786,5.786
1991-04-11,5.722,5.722,5.722,5.722
1991-04-12,5.677,5.677,5.677,5.677
1991-04-15,5.777,5.777,5.777,5.777
1991-04-16,5.787,5.787,5.787,5.787
1991-04-17,5.744,5.744,5.744,5.744
1991-04-19,5.928,5.928,5.928,5.928
1991-04-22,5.892,5.892,5.892,5.892
1991-04-23,5.891,5.891,5.891,5.891
1991-04-24,5.817,5.817,5.817,5.817
1991-04-25,5.785,5.785,5.785,5.785
1991-04-26,5.792,5.792,5.792,5.792
1991-04-29,5.777,5.777,5.777,5.777
1991-04-30,5.692,5.692,5.692,5.692
1991-05-01,5.702,5.702,5.702,5.702
1991-05-02,5.638,5.638,5.638,5.638
1991-05-03,5.63,5.63,5.63,5.63
1991-05-06,5.641,5.641,5.641,5.641
1991-05-07,5.692,5.692,5.692,5.692
1991-05-08,5.66,5.66,5.66,5.66
1991-05-09,5.638,5.638,5.638,5.638
1991-05-10,5.615,5.615,5.615,5.615
1991-05-13,5.672,5.672,5.672,5.672
1991-05-14,5.651,5.651,5.651,5.651
1991-05-15,5.603,5.603,5.603,5.603
1991-05-16,5.576,5.576,5.576,5.576
1991-05-17,5.578,5.578,5.578,5.578
1991-05-20,5.651,5.651,5.651,5.651
1991-05-21,5.661,5.661,5.661,5.661
1991-05-22,5.629,5.629,5.629,5.629
1991-05-23,5.555,5.555,5.555,5.555
1991-05-24,5.562,5.562,5.562,5.562
1991-05-28,5.619,5.619,5.619,5.619
1991-05-29,5.618,5.618,5.618,5.618
1991-05-30,5.638,5.638,5.638,5.638
1991-05-31,5.704,5.704,5.704,5.704
1991-06-03,5.746,5.746,5.746,5.746
1991-06-04,5.75,5.75,5.75,5.75
1991-06-05,5.744,5.744,5.744,5.744
1991-06-06,5.722,5.722,5.722,5.722
1991-06-07,5.74,5.74,5.74,5.74
1991-06-10,5.766,5.766,5.766,5.766
1991-06-11,5.755,5.755,5.755,5.755
1991-06-12,5.744,5.744,5.744,5.744
1991-06-13,5.753,5.753,5.753,5.753
1991-06-14,5.761,5.761,5.761,5.761
1991-06-17,5.787,5.787,5.787,5.787
1991-06-18,5.797,5.797,5.797,5.797
1991-06-19,5.744,5.744,5.744,5.744
1991-06-20,5.732,5.732,5.732,5.732
1991-06-21,5.74,5.74,5.74,5.74
1991-06-24,5.746,5.746,5.746,5.746
1991-06-25,5.745,5.745,5.745,5.745
1991-06-26,5.723,5.723,5.723,5.723
1991-06-27,5.711,5.711,5.711,5.711
1991-06-28,5.698,5.698,5.698,5.698
1991-07-01,5.746,5.746,5.746,5.746
1991-07-02,5.745,5.745,5.745,5.745
1991-07-03,5.727,5.727,5.727,5.727
1991-07-04,5.74,5.74,5.74,5.74
1991-07-05,5.751,5.751,5.751,5.751
1991-07-08,5.746,5.746,5.746,5.746
1991-07-09,5.766,5.766,5.766,5.766
1991-07-10,5.744,5.744,5.744,5.744
1991-07-11,5.732,5.732,5.732,5.732
1991-07-12,5.719,5.719,5.719,5.719
1991-07-15,5.746,5.746,5.746,5.746
1991-07-16,5.766,5.766,5.766,5.766
1991-07-17,5.775,5.775,5.775,5.775
1991-07-18,5.764,5.764,5.764,5.764
1991-07-19,5.74,5.74,5.74,5.74
1991-07-22,5.777,5.777,5.777,5.777
1991-07-23,5.766,5.766,5.766,5.766
1991-07-24,5.744,5.744,5.744,5.744
1991-07-25,5.764,5.764,5.764,5.764
1991-07-26,5.751,5.751,5.751,5.751
1991-07-29,5.756,5.756,5.756,5.756
1991-07-30,5.724,5.724,5.724,5.724
1991-07-31,5.691,5.691,5.691,5.691
1991-08-01,5.711,5.711,5.711,5.711
1991-08-02,5.636,5.636,5.636,5.636
1991-08-05,5.672,5.672,5.672,5.672
1991-08-06,5.598,5.598,5.598,5.598
1991-08-07,5.556,5.556,5.556,5.556
1991-08-08,5.513,5.513,5.513,5.513
1991-08-09,5.479,5.479,5.479,5.479
1991-08-12,5.463,5.463,5.463,5.463
1991-08-13,5.452,5.452,5.452,5.452
1991-08-14,5.462,5.462,5.462,5.462
1991-08-15,5.44,5.44,5.44,5.44
1991-08-16,5.385,5.385,5.385,5.385
1991-08-19,5.317,5.317,5.317,5.317
1991-08-20,5.274,5.274,5.274,5.274
1991-08-22,5.461,5.461,5.461,5.461
1991-08-23,5.552,5.552,5.552,5.552
1991-08-26,5.569,5.569,5.569,5.569
1991-08-27,5.526,5.526,5.526,5.526
1991-08-28,5.457,5.457,5.457,5.457
1991-08-29,5.43,5.43,5.43,5.43
1991-08-30,5.49,5.49,5.49,5.49
