Date,Open,High,Low,Close
1971-01-10,357.73,357.87,357.73,357.83
1971-01-17,357.97,358.46,357.97,358.4
1971-01-24,358.27,358.42,357.91,357.91
1971-01-31,357.74,357.82,357.71,357.71
1971-02-07,357.65,357.65,357.49,357.51
1971-02-14,357.48,357.49,357.48,357.49
1971-02-21,357.52,357.58,357.51,357.58
1971-02-28,357.61,357.61,357.55,357.57
1971-03-07,357.61,357.61,357.47,357.6
1971-03-14,357.55,357.6,357.47,357.59
1971-03-21,357.55,357.57,357.5,357.55
1971-03-28,357.43,357.51,357.43,357.45
1971-04-04,357.42,357.51,357.41,357.51
1971-04-11,357.48,357.57,357.48,357.52
1971-04-18,357.52,357.6,357.49,357.56
1971-04-25,357.47,357.48,357.47,357.48
1971-05-02,357.49,357.5,357.4,357.4
1971-05-09,357.41,357.43,357.38,357.43
1971-05-16,357.13,357.52,357.13,357.49
1971-05-23,357.4,357.46,357.39,357.39
1971-05-30,357.39,357.43,357.39,357.4
1971-06-06,357.44,357.48,357.39,357.4
1971-06-13,357.39,357.41,357.39,357.39
1971-06-20,357.41,357.46,357.4,357.4
1971-06-27,357.39,357.41,357.39,357.41
1971-07-04,357.36,357.41,357.36,357.4
1971-07-11,357.45,357.47,357.4,357.4
1971-07-18,357.42,357.45,357.4,357.4
1971-07-25,357.39,357.39,357.36,357.36
1971-08-01,357.4,357.41,357.37,357.41
1971-08-08,357.39,357.39,357.36,357.38
1971-08-15,357.36,357.39,357.35,357.37
1971-08-22,357.55,358.26,357.55,358.26
1971-08-29,358.44,359.16,358.44,359.16
1971-09-05,359.34,359.34,338.98,340.15
1971-09-12,339.77,339.77,338.83,338.83
1971-09-19,338.97,338.97,337.84,337.95
1971-09-26,337.28,337.45,336.99,336.99
1971-10-03,336.25,336.36,333.38,333.38
1971-10-10,333.16,333.16,332.38,332.38
1971-10-17,330.52,331.41,330.52,330.59
1971-10-24,329.6,331.08,329.6,330.36
1971-10-31,329.01,329.71,329.01,329.51
1971-11-07,329.46,330.88,329.17,329.17
1971-11-14,329.23,329.49,329.11,329.49
1971-11-21,328.74,328.81,328.41,328.41
1971-11-28,328.42,328.42,327.6,327.6
1971-12-05,327.06,327.6,325.11,325.11
1971-12-12,326.53,326.53,323.11,323.11
1971-12-19,322.79,322.79,320.01,320.36
1971-12-26,320.52,320.52,314.96,315.21
1972-01-02,314.96,315.21,314.96,315.02
1972-01-09,314.86,314.97,312.02,312.52
1972-01-16,312.99,314.46,312.99,313
1972-01-23,313.39,313.39,312.03,312.31
1972-01-30,312.22,312.22,310.09,310.47
1972-02-06,310.57,310.57,308.56,308.65
1972-02-13,308.18,308.18,304.7,304.7
1972-02-20,304.24,304.24,303.49,303.49
1972-02-27,302.85,302.85,302.12,302.49
1972-03-05,303.95,303.95,302.66,302.66
1972-03-12,302.75,302.75,301.66,301.93
1972-03-19,302.3,302.3,302.02,302.11
1972-03-26,302.3,302.3,301.93,302.3
1972-04-02,302.57,304.32,302.57,304.32
1972-04-09,304.14,305.16,303.21,303.21
1972-04-16,302.11,302.94,302.11,302.94
1972-04-23,302.57,303.22,302.39,303.22
1972-04-30,305.18,305.18,303.76,304.86
1972-05-07,304.42,304.42,304.22,304.31
1972-05-14,305.05,305.05,303.58,303.86
1972-05-21,304.32,304.61,304.05,304.05
1972-05-28,304.42,304.42,304.22,304.4
1972-06-04,305.34,305.34,304.22,304.22
1972-06-11,304.68,304.68,304.23,304.23
1972-06-18,304.52,304.52,303.95,303.95
1972-06-25,303.85,303.85,294.12,294.12
1972-07-02,298.51,300.94,296.75,300.94
1972-07-09,300.86,300.94,300.02,300.94
1972-07-16,301.31,301.58,301.01,301.2
1972-07-23,301.03,301.19,300.74,301.09
1972-07-30,301.21,301.21,300.76,301.2
1972-08-06,301.39,301.39,300.93,300.93
1972-08-13,301.12,301.21,301.12,301.12
1972-08-20,301.12,301.22,301.12,301.21
1972-08-27,301.11,301.2,301.11,301.2
1972-09-03,301.21,301.21,301.1,301.1
1972-09-10,301.19,301.19,301.1,301.1
1972-09-17,301.18,301.18,301.1,301.12
1972-09-24,301.12,301.12,301.11,301.12
1972-10-01,301.12,301.12,301.01,301.1
1972-10-08,301.09,301.1,300.92,300.92
1972-10-15,300.93,301.12,300.93,301.12
1972-10-22,301.12,301.12,300.76,300.76
1972-10-29,301.02,301.21,300.49,300.49
1972-11-05,301.02,301.11,299.93,299.93
1972-11-12,301.02,301.02,300.93,300.93
1972-11-19,301.03,301.11,301.02,301.02
1972-11-26,301.1,301.11,301.01,301.01
1972-12-03,301.12,301.2,301.11,301.11
1972-12-10,301.12,301.12,301.11,301.11
1972-12-17,301.07,301.12,301.07,301.12
1972-12-24,301.12,301.12,301.1,301.12
1972-12-31,301.39,302.03,301.39,301.66
1973-01-07,301.39,301.43,301.2,301.3
1973-01-14,302.21,302.21,301.48,301.66
1973-01-21,301.66,302.57,301.66,302.57
1973-01-28,302.48,302.48,301.66,301.75
1973-02-04,301.66,301.66,299.58,299.58
1973-02-11,300.75,300.75,293.26,293.26
1973-02-18,266.68,266.68,263.02,263.84
1973-02-25,265.95,265.95,264.89,264.89
1973-03-04,265.61,265.97,262.13,262.13
1973-03-11,259.08,261.92,259.08,260.42
1973-03-18,257.07,260.08,254.45,260.08
1973-03-25,263.17,266.03,263.16,266.03
1973-04-01,265.53,265.96,265.39,265.96
1973-04-08,266.03,266.03,264.55,264.76
1973-04-15,265.53,266.03,265.53,265.89
1973-04-22,265.6,265.6,265.46,265.6
1973-04-29,265.6,265.6,265.46,265.6
1973-05-06,265.53,265.54,265.53,265.53
1973-05-13,265.53,265.67,265.04,265.46
1973-05-20,264.76,264.76,262.47,264.27
1973-05-27,262.95,264.83,262.95,264.83
1973-06-03,264.9,264.9,264.06,264.06
1973-06-10,262.89,264.41,262.89,264.41
1973-06-17,264.69,264.69,264.62,264.69
1973-06-24,264.69,265.04,264.69,265.04
1973-07-01,265.18,265.18,263.17,263.17
1973-07-08,265.25,265.25,262.12,262.12
1973-07-15,259.4,265.05,259.4,265.05
1973-07-22,265.11,265.6,265.11,265.6
1973-07-29,266.17,266.17,264.76,264.76
1973-08-05,263.57,265.39,263.44,265.39
1973-08-12,265.11,265.26,265.11,265.26
1973-08-19,265.47,265.53,265.39,265.53
1973-08-26,265.61,265.61,265.19,265.26
1973-09-02,265.33,265.4,265.33,265.4
1973-09-09,265.47,265.47,265.38,265.39
1973-09-16,265.38,265.6,265.38,265.59
1973-09-23,265.53,265.53,265.24,265.24
1973-09-30,265.39,265.61,265.39,265.61
1973-10-07,265.61,266.16,265.61,266.16
1973-10-14,266.32,266.32,266.25,266.25
1973-10-21,266.45,266.45,266.31,266.38
1973-10-28,266.45,266.67,266.39,266.67
1973-11-04,266.74,276.01,266.74,276.01
1973-11-11,275.18,275.33,275.18,275.33
1973-11-18,275.25,280.66,275.25,280.11
1973-11-25,280.11,280.66,280.11,280.66
1973-12-02,280.11,280.11,279.8,280.11
1973-12-09,280.11,280.11,280.11,280.11
1973-12-16,280.11,280.11,280.03,280.11
1973-12-23,280.11,280.11,280.11,280.11
1973-12-30,280.35,280.66,280.27,280.44
1974-01-06,280.28,283.7,280.28,282.1
1974-01-13,300.29,300.29,299.93,300.02
1974-01-20,300.11,300.14,300.11,300.11
1974-01-27,305.33,305.33,299.8,299.8
1974-02-03,299.86,300.04,298.78,298.85
1974-02-10,297,297.63,293.69,296.31
1974-02-17,295.53,295.53,291.54,293.16
1974-02-24,290.1,290.1,280.58,280.58
1974-03-03,283.38,292.07,283.38,292.07
1974-03-10,292.73,292.73,286.85,287.18
1974-03-17,285.71,285.71,281.68,282.5
1974-03-24,281.94,281.94,276.79,276.79
1974-03-31,275.19,276.08,274.43,276.08
1974-04-07,280.11,280.11,275.48,279.33
1974-04-14,278.01,279.25,276.79,278.56
1974-04-21,278.55,278.55,276.39,276.94
1974-04-28,277.38,279.81,275.56,279.81
1974-05-05,279.34,279.96,279.34,279.79
1974-05-12,279.39,279.56,277.62,277.62
1974-05-19,277.61,277.77,277.39,277.69
1974-05-26,278.24,279.86,278.24,279.49
1974-06-02,279.33,281.93,279.33,281.93
1974-06-09,283.68,283.68,281.85,282.65
1974-06-16,282.17,282.99,282.17,282.55
1974-06-23,282.73,283.21,282.66,283.21
1974-06-30,283.6,284.25,283.6,284.25
1974-07-07,285.33,287.36,285.33,287.36
1974-07-14,287.93,291.98,287.93,289.18
1974-07-21,288.84,290.71,288.1,290.71
1974-07-28,291.28,295.43,291.28,295.43
1974-08-04,298.25,300.14,297.51,300.14
1974-08-11,300.2,302.76,300.2,302.58
1974-08-18,302.11,302.93,301.83,302.93
1974-08-25,303.1,303.86,303.1,303.11
1974-09-01,302.87,302.93,302.12,302.92
1974-09-08,302.68,302.74,302.57,302.65
1974-09-15,302.49,302.75,299.57,299.57
1974-09-22,299.42,299.42,295.86,295.86
1974-09-29,295.85,296.75,294.8,296.75
1974-10-06,298.33,299.05,297.95,299.05
1974-10-13,300.03,300.03,298.68,299.14
1974-10-20,299.14,299.31,298.96,299.31
1974-10-27,299.66,299.93,299.66,299.84
1974-11-03,300.11,300.49,299.95,300.49
1974-11-10,300.47,300.48,299.68,299.68
1974-11-17,300.3,300.3,299.95,299.95
1974-11-24,299.68,299.94,299.68,299.86
1974-12-01,300.2,300.29,299.84,300.29
1974-12-08,300.4,300.4,299.75,299.92
1974-12-15,299.84,300.03,299.75,300.03
1974-12-22,300.29,301.12,300.29,301.12
1974-12-29,301.03,301.21,300.76,300.76
1975-01-05,300.56,301.01,300.56,300.83
1975-01-12,301.01,301.01,300.77,300.84
1975-01-19,300.93,301.03,300.76,300.83
1975-01-26,301.01,301.01,295.33,295.33
1975-02-02,295,297.97,295,297.97
1975-02-09,297.44,297.44,295.6,295.6
1975-02-16,292.4,293.27,291.64,293.27
1975-02-23,293.34,293.34,289.52,289.52
1975-03-02,285.88,286.45,285.63,286.45
1975-03-09,285.39,285.96,284.66,285.96
1975-03-16,286.21,288.85,286.12,288.1
1975-03-23,286.53,288.18,286.53,287.44
1975-03-30,287.77,292.49,287.77,292.49
1975-04-06,294.03,294.03,290.87,292.24
1975-04-13,291.98,291.98,291.11,291.11
1975-04-20,291.29,291.79,290.95,291.79
1975-04-27,292.84,293.68,292.73,293.68
1975-05-04,294.56,294.56,290.37,290.37
1975-05-11,290.45,291.45,290.45,291.45
1975-05-18,291.28,291.8,291.28,291.55
1975-05-25,291.81,292.24,291.03,291.03
1975-06-01,291.27,291.55,290.71,291.55
1975-06-08,291.46,292.21,291.05,291.81
1975-06-15,291.81,292.65,291.81,292.65
1975-06-22,294.11,294.12,293.41,293.93
1975-06-29,294.72,297,294.72,296.02
1975-07-06,295.68,295.68,295.42,295.42
1975-07-13,295.49,296.13,295.49,296.12
1975-07-20,295.87,296.31,295.86,296.22
1975-07-27,296.13,297.63,296.13,296.66
1975-08-03,297.81,297.89,297.35,297.89
1975-08-10,297.96,298.07,297.63,297.63
1975-08-17,297.79,298.06,297.79,297.96
1975-08-24,298.16,298.16,297.9,297.96
1975-08-31,298.07,298.16,297.96,297.98
1975-09-07,297.96,297.97,297.8,297.97
1975-09-14,297.99,298.06,297.99,298.06
1975-09-21,298.06,301.57,298.06,301.57
1975-09-28,302.93,303.3,301.75,301.75
1975-10-05,303.22,303.22,302.57,303.03
1975-10-12,303.14,303.14,302.94,302.95
1975-10-19,302.66,302.94,302.66,302.77
1975-10-26,302.48,302.48,301.11,301.66
1975-11-02,301.56,301.75,301.48,301.75
1975-11-09,301.74,301.84,301.74,301.74
1975-11-16,302.32,302.58,301.91,302.58
1975-11-23,302.67,303.11,302.67,303.11
1975-11-30,302.95,303.22,302.95,303.12
1975-12-07,304.42,306.75,304.41,306.75
1975-12-14,306.85,306.85,305.9,305.9
1975-12-21,306.01,306.08,305.53,306.08
1975-12-28,306.1,306.1,305.9,305.9
1976-01-04,305.26,305.26,305.05,305.05
1976-01-11,305.17,306,305.06,306
1976-01-18,305.17,305.36,305.17,305.26
1976-01-25,304.15,304.41,303.86,304.04
1976-02-01,303.77,303.77,303.58,303.67
1976-02-08,303.21,303.21,300.57,301.39
1976-02-15,300.76,300.76,300.13,300.76
1976-02-22,301.57,302.1,301.57,302.1
1976-02-29,302.57,302.57,302.03,302.12
1976-03-07,301.66,301.66,301.56,301.56
1976-03-14,300.76,301.31,300.76,300.84
1976-03-21,300.66,300.66,299.67,299.67
1976-03-28,299.85,299.85,299.58,299.58
1976-04-04,299.68,299.86,299.3,299.3
1976-04-11,299.31,299.31,297.43,297.89
1976-04-18,298.42,299.41,298.07,299.3
1976-04-25,300.03,300.03,299.51,299.76
1976-05-02,299.84,299.84,299.03,299.03
1976-05-09,298.95,298.95,297.89,298.53
1976-05-16,298.4,298.96,298.4,298.79
1976-05-23,299.32,299.57,299.14,299.57
1976-05-30,299.59,300.03,299.59,300.03
1976-06-06,300.37,300.5,300.28,300.39
1976-06-13,300.29,300.29,299.93,300.04
1976-06-20,299.93,300.02,299.31,299.31
1976-06-27,299.31,299.31,296.83,297.82
1976-07-04,296.03,297.98,296.03,297.18
1976-07-11,296.36,296.73,296.36,296.73
1976-07-18,296.39,296.39,292.65,294.03
1976-07-25,293.7,293.94,293.35,293.94
1976-08-01,293.5,293.85,293.27,293.27
1976-08-08,292.91,293.01,292.82,293.01
1976-08-15,292.65,292.83,291.1,291.1
1976-08-22,290.35,290.35,287.86,289.34
1976-08-29,289.77,289.77,288.43,288.58
1976-09-05,288.77,289.36,287.76,287.76
1976-09-12,287.78,287.78,286.03,286.93
1976-09-19,286.63,287.26,286.13,287.26
1976-09-26,287.12,288.03,287.09,287.85
1976-10-03,287.59,287.77,286.87,287.12
1976-10-10,287.26,288.78,287.26,288.78
1976-10-17,289.86,293,289.86,293
1976-10-24,292.47,293.7,292.13,293.7
1976-10-31,293.35,294.38,293.18,294.38
1976-11-07,295.86,295.86,294.98,294.98
1976-11-14,293.78,294.64,293.78,294.64
1976-11-21,294.72,295.43,294.72,295.43
1976-11-28,295.07,295.52,295.07,295.52
1976-12-05,295.67,297.88,295.67,297.88
1976-12-12,296.57,296.57,294.81,294.81
1976-12-19,294.71,295.52,294.65,294.65
1976-12-26,293.6,293.92,293.44,293.5
1977-01-02,292.31,293.08,292.12,293.08
1977-01-09,292.46,292.91,291.73,292.84
1977-01-16,292.48,292.56,292.06,292.06
1977-01-23,291.73,291.73,289.61,290.45
1977-01-30,290.11,290.11,288.17,289.52
1977-02-06,288.42,288.42,288.03,288.09
1977-02-13,287.94,287.94,285.05,285.05
1977-02-20,281.69,283.93,281.69,283.46
1977-02-27,283.38,283.54,282.02,282.02
1977-03-06,282.8,282.8,281.29,282.1
1977-03-13,281.92,282.34,281.92,282.02
1977-03-20,281.22,281.86,280.82,280.82
1977-03-27,279.11,279.11,277.23,278.33
1977-04-03,276.84,277.55,276.17,276.17
1977-04-10,274.66,274.66,272.99,273.22
1977-04-17,271.3,273.81,270.71,273.81
1977-04-24,275.32,278.79,275.32,277.77
1977-05-01,278.01,278.31,277.1,277.77
1977-05-08,278,278.16,275.95,276.86
1977-05-15,278.01,278.01,277.48,277.62
1977-05-22,277.68,277.68,276.97,277.25
1977-05-29,277.55,277.79,277.12,277.28
1977-06-05,277.28,277.31,276.29,276.29
1977-06-12,275.17,275.56,273.66,273.66
1977-06-19,271.81,272.77,271.81,272.69
1977-06-26,272.79,272.79,271.75,271.99
1977-07-03,271.48,271.48,267.12,267.12
1977-07-10,264.89,265.38,264.7,264.77
1977-07-17,263.08,265.31,263.08,265.31
1977-07-24,263.99,264.82,263.99,264.25
1977-07-31,264.35,266.82,264.35,266.82
1977-08-07,267.13,267.13,265.53,265.86
1977-08-14,266.25,266.38,265.95,266.38
1977-08-21,267.92,267.92,266.73,267.28
1977-08-28,266.71,267.32,266.22,267.1
1977-09-04,267.07,268.17,267.07,267.98
1977-09-11,267.57,267.57,266.79,266.82
1977-09-18,266.67,267.12,266.67,267.09
1977-09-25,266.92,266.92,266.8,266.8
1977-10-02,266.7,266.7,263.7,263.7
1977-10-09,260.71,261.1,257.61,257.61
1977-10-16,257.8,257.8,252.99,252.99
1977-10-23,252.53,254.45,252.21,254.31
1977-10-30,251.94,252.32,250.32,250.51
1977-11-06,249.13,249.13,246.73,249.01
1977-11-13,248.7,248.7,246.17,246.17
1977-11-20,245.11,245.4,243.49,243.49
1977-11-27,242.79,242.79,239.76,239.99
1977-12-04,240.25,244.01,240.25,242.5
1977-12-11,242.01,242.37,241.43,242.37
1977-12-18,241.78,241.78,237.81,240.58
1977-12-25,241.02,241.67,240.39,241.67
1978-01-01,241.38,241.38,239.97,239.97
1978-01-08,237.59,241.08,237.41,240.38
1978-01-15,241.47,241.6,240.51,241.49
1978-01-22,241.6,242.42,241.6,241.85
1978-01-29,241.46,241.66,240.57,241.37
1978-02-05,241.77,241.84,241.59,241.84
1978-02-12,241.13,241.58,241.13,241.58
1978-02-19,240.69,240.69,239.81,239.81
1978-02-26,238.4,240.22,238.14,240.22
1978-03-05,239.24,239.24,237.04,237.04
1978-03-12,236.41,236.41,234.41,235.89
1978-03-19,234.04,235.63,231,231
1978-03-26,231.16,231.16,227.99,227.99
1978-04-02,225.24,229.9,222.28,229.9
1978-04-09,218.35,220.13,218.35,220.13
1978-04-16,219.84,219.84,218.71,219.39
1978-04-23,220.59,226.76,220.59,225.9
1978-04-30,228.1,228.1,222.22,224.98
1978-05-07,225.78,226.15,224.59,224.59
1978-05-14,225.12,225.64,224.92,225.64
1978-05-21,226.23,228.41,226.23,228.01
1978-05-28,228.82,229.04,225.68,225.68
1978-06-04,225.05,225.05,221.25,221.25
1978-06-11,220.98,221,220.6,220.6
1978-06-18,218,218,215.38,215.89
1978-06-25,213.5,213.5,207.47,207.47
1978-07-02,206.05,206.05,203.71,203.71
1978-07-09,202.43,203.1,201.6,202.34
1978-07-16,201.68,203.29,201.68,202.6
1978-07-23,203.8,203.8,200.94,200.94
1978-07-30,198.02,198.02,190.59,190.59
1978-08-06,189.14,190.19,186.28,190.19
1978-08-13,188.79,188.79,185.53,185.53
1978-08-20,183.77,188.85,183.77,188.85
1978-08-27,193.01,193.01,191.03,192.57
1978-09-03,193.35,193.35,189.08,190.8
1978-09-10,190.16,192.89,190,192.89
1978-09-17,191.91,191.91,189.85,189.85
1978-09-24,190.8,190.8,187.75,188.24
1978-10-01,187.65,189.2,187.65,189.18
1978-10-08,188.86,188.86,187.01,188.4
1978-10-15,187.91,187.91,185.85,185.9
1978-10-22,183.84,183.84,181.81,181.81
1978-10-29,181.55,182.55,178.3,179
1978-11-05,177.06,189.01,177.06,189.01
1978-11-12,190.24,190.24,187.25,188.61
1978-11-19,188.45,195.6,188.45,195.6
1978-11-26,194.8,195.04,194.19,195.04
1978-12-03,196,201.69,196,201.69
1978-12-10,197.64,198.66,197.5,198.1
1978-12-17,195.99,196.35,195.54,195.8
1978-12-24,193.05,195.2,193.05,194.1
1978-12-31,195,195,193.95,194.29
1979-01-07,194.58,196.65,194.58,196.65
1979-01-14,195.65,198.25,195.65,197.6
1979-01-21,197.8,198.24,196.75,198.24
1979-01-28,197.64,199.55,197.64,199.55
1979-02-04,200.1,202.76,200.1,201.59
1979-02-11,199.86,199.86,195.99,198.79
1979-02-18,199.69,200.69,199.69,200.69
1979-02-25,201.05,201.85,201.05,201.4
1979-03-04,202.08,204.9,201.89,204.9
1979-03-11,204.74,204.74,204.01,204.69
1979-03-18,205.72,208.64,205.72,207.45
1979-03-25,207,207.18,205.5,205.9
1979-04-01,206.81,209.59,206.81,209.59
1979-04-08,211.66,215.29,211.66,214.92
1979-04-15,213.51,215.91,212.74,215.91
1979-04-22,216.45,218.29,215.4,218.29
1979-04-29,218.36,219.9,218.11,219.9
1979-05-06,221.8,224.96,221.51,221.51
1979-05-13,214.8,215.16,213.14,215.12
1979-05-20,214.01,218.8,214.01,218.8
1979-05-27,218.8,219.75,218.65,219.75
1979-06-03,220.47,222.05,220.35,221.28
1979-06-10,219.75,221.16,218.6,218.6
1979-06-17,218.84,220.18,218.8,218.8
1979-06-24,219.89,219.89,215.81,215.81
1979-07-01,213.24,217.79,213.24,217.79
1979-07-08,218.31,218.41,217,217.49
1979-07-15,217.49,217.67,217.26,217.34
1979-07-22,216.81,217.1,213.59,217.1
1979-07-29,215.74,215.74,214.4,215.41
1979-08-05,215.8,216.91,215.8,216.91
1979-08-12,216.45,216.51,215.89,215.89
1979-08-19,216.59,217.3,216.59,217.3
1979-08-26,217.39,219.49,217.39,219.24
1979-09-02,220.94,221.94,219.96,220.4
1979-09-09,221.05,221.49,220.79,220.79
1979-09-16,220.91,223.61,220.91,223.41
1979-09-23,223.48,223.8,220.3,222.45
1979-09-30,223.1,224.5,222.61,224.5
1979-10-07,225.25,225.36,223.4,224.15
1979-10-14,225.99,227.51,225.61,227.51
1979-10-21,229.79,234.11,229.79,230.65
1979-10-28,233.8,235.39,233.8,234.29
1979-11-04,235.97,238.15,234.54,234.54
1979-11-11,237.09,243.55,237.09,243.55
1979-11-18,246.61,247.18,243.34,246.49
1979-11-25,245.25,248.98,245.25,248.98
1979-12-02,250.86,250.86,248.84,249.54
1979-12-09,248.87,248.87,240.19,240.19
1979-12-16,232.67,242.56,232.67,242.56
1979-12-23,240.1,240.1,236.59,239.89
1979-12-30,239.8,240.55,239.05,240.55
1980-01-06,240.3,240.3,234.79,234.79
1980-01-13,231.56,236.04,231.56,236.04
1980-01-20,236.2,239.9,236.2,239.65
1980-01-27,240.98,240.98,237.26,239.6
1980-02-03,240.23,240.43,239.33,240.43
1980-02-10,240.28,241.66,240.1,241.66
1980-02-17,241.4,243.4,241.4,243.21
1980-02-24,245.36,247.44,245.36,247.44
1980-03-02,248.34,251.64,248.07,251.64
1980-03-09,247.85,248.09,246.39,247.84
1980-03-16,247.93,249.04,247.29,249.04
1980-03-23,248.9,249.09,248.64,248.91
1980-03-30,249.16,249.9,249.07,249.66
1980-04-06,249.95,258.74,249.95,258.74
1980-04-13,261.41,261.41,249.5,252.5
1980-04-20,251.37,252.7,248.71,249.41
